#"merged for figure"
#"date: date of D0 of the experimental run"
#"notes: comment about the data point; agar denotes TSB plated tests; OD660_x:y denotes the harvest OD x and the diluted OD y; double denotes two 3uL drops merged; mix denotes one 3uL drop merged with the control drop; infected denotes the media was cloudy; visible denotes colonys can be seen by naked eye easily"
#"timepoint: hours elapsed from T0 before sample was taken"
#"sample_strain: strain or species of bacteria"
#"sample_id: other identifcation of bacteria"
#"count: number of colonies counted in a 10uL plated drop"
#"dilution: x10 fold dilution 20uL in 180uL; if blank denotes 3uL drop representing total exposure amount"
date,notes,timepoint,sample_strain,sample_id,count,dilution
160330,,72,LAC,agrA_C123F_empty,7,5
160330,,72,LAC,agrA_C123F_empty,17,4
160330,,72,LAC,agrA_C123F_empty,10,5
160330,infected,72,LAC,agrA_C123F_comp-P2min,,
160330,double,72,LAC,agrA_C123F_comp-P2min,24,5
160330,visible,72,LAC,agrA_C123F_comp-P2min,18,6
160330,,72,LAC,agrA_C123F_comp-P2min,17,5
160330,infected,120,LAC,wt,,
160330,infected,120,LAC,wt,,
160330,infected,120,LAC,wt,,
160330,,120,LAC,wt,17,5
160330,,120,LAC,wt,17,5
160330,,120,LAC,wt,14,5
160330,,120,LAC,agrA_C123F_comp-20,19,5
160330,,120,LAC,agrA_C123F_comp-20,14,5
160330,,120,LAC,agrA_C123F_comp-20,19,5
160330,,120,LAC,agrA_C123F_empty,7,5
160330,,120,LAC,agrA_C123F_empty,6,5
160330,,120,LAC,agrA_C123F_empty,3,5
160330,,120,LAC,agrA_C123F_empty,5,5
160330,,120,LAC,agrA_C123F_empty,24,4
160330,,120,LAC,agrA_C123F_empty,8,5
160330,,120,LAC,agrA_C123F_comp-P2min,23,5
160330,,120,LAC,agrA_C123F_comp-P2min,24,5
160330,,120,LAC,agrA_C123F_comp-P2min,15,5
160401,agar,0,LAC,wt,21,
160401,agar,0,LAC,wt,15,
160401,agar,0,LAC,wt,12,
160401,agar,0,LAC,wt,21,
160401,agar,0,LAC,wt,14,
160401,agar,0,LAC,wt,15,
160401,agar,0,LAC,wt,20,
160401,agar,0,LAC,wt,18,
160401,agar,0,LAC,agrA_C123F_comp-20,24,
160401,agar,0,LAC,agrA_C123F_comp-20,20,
160401,agar,0,LAC,agrA_C123F_comp-20,30,
160401,agar,0,LAC,agrA_C123F_comp-20,29,
160401,agar,0,LAC,agrA_C123F_comp-20,20,
160401,agar,0,LAC,agrA_C123F_comp-20,11,
160401,agar,0,LAC,agrA_C123F_comp-20,12,
160401,agar,0,LAC,agrA_C123F_comp-20,11,
160401,agar,0,LAC,agrA_C123F_empty,19,
160401,agar,0,LAC,agrA_C123F_empty,25,
160401,agar,0,LAC,agrA_C123F_empty,30,
160401,agar,0,LAC,agrA_C123F_empty,26,
160401,agar,0,LAC,agrA_C123F_empty,15,
160401,agar,0,LAC,agrA_C123F_empty,15,
160401,agar,0,LAC,agrA_C123F_empty,15,
160401,agar,0,LAC,agrA_C123F_empty,20,
160401,agar,0,LAC,agrA_C123F_comp-P2min,47,
160401,agar,0,LAC,agrA_C123F_comp-P2min,44,
160401,agar,0,LAC,agrA_C123F_comp-P2min,48,
160401,agar,0,LAC,agrA_C123F_comp-P2min,40,
160401,agar,0,LAC,agrA_C123F_comp-P2min,37,
160401,agar,0,LAC,agrA_C123F_comp-P2min,34,
160401,agar,0,LAC,agrA_C123F_comp-P2min,34,
160401,agar,0,LAC,agrA_C123F_comp-P2min,34,
160401,infected,48,LAC,agrA_C123F_comp-20,,
160401,infected,48,LAC,agrA_C123F_comp-20,,
160401,infected,48,LAC,agrA_C123F_comp-P2min,,
160401,infected,48,LAC,agrA_C123F_comp-P2min,,
160401,infected,48,LAC,agrA_C123F_comp-P2min,,
160401,,72,LAC,wt,11,5
160401,,72,LAC,wt,6,5
160401,,72,LAC,wt,6,5
160401,,72,LAC,wt,24,5
160401,,72,LAC,agrA_C123F_comp-20,9,5
160401,,72,LAC,agrA_C123F_comp-20,7,5
160401,,72,LAC,agrA_C123F_empty,10,5
160401,,72,LAC,agrA_C123F_empty,10,5
160401,,72,LAC,agrA_C123F_empty,3,5
160401,,72,LAC,agrA_C123F_empty,22,4
160401,,72,LAC,agrA_C123F_empty,20,4
160401,,72,LAC,agrA_C123F_empty,31,5
160401,,72,LAC,agrA_C123F_empty,5,5
160401,,72,LAC,agrA_C123F_comp-P2min,7,5
160401,,72,LAC,agrA_C123F_comp-P2min,9,5
160401,,72,LAC,agrA_C123F_comp-P2min,7,5
160401,infected,96,LAC,wt,,
160401,infected,96,LAC,agrA_C123F_comp-20,,
160401,infected,96,LAC,agrA_C123F_comp-P2min,,
160401,infected,120,LAC,agrA_C123F_comp-20,,
160401,infected,120,LAC,wt,,
160401,,120,LAC,agrA_C123F_empty,12,5
160401,,120,LAC,agrA_C123F_empty,3,5
160401,,120,LAC,agrA_C123F_empty,9,5
160401,,120,LAC,agrA_C123F_empty,5,5
160401,,120,LAC,agrA_C123F_empty,10,4
160401,,120,LAC,agrA_C123F_empty,7,5
160401,,120,LAC,agrA_C123F_comp-P2min,4,6
160511,OD660_0.411,0,LAC,wt,,
160511,OD660_0.591,0,LAC,agrA_C123F,,
160511,OD660_0.481,0,LAC,agrA_C123F_comp-20,,
160511,agar,0,LAC,wt,11,
160511,agar,0,LAC,wt,7,
160511,agar,0,LAC,wt,15,
160511,agar,0,LAC,wt,19,
160511,agar,0,LAC,wt,18,
160511,agar,0,LAC,wt,20,
160511,agar,0,LAC,wt,17,
160511,agar_stock,0,LAC,wt,5,1
160511,agar_stock,0,LAC,wt,16,5
160511,agar,0,LAC,agrA_C123F_comp-20,11,
160511,agar,0,LAC,agrA_C123F_comp-20,14,
160511,agar,0,LAC,agrA_C123F_comp-20,11,
160511,agar,0,LAC,agrA_C123F_comp-20,22,
160511,agar,0,LAC,agrA_C123F_comp-20,16,
160511,agar,0,LAC,agrA_C123F_comp-20,13,
160511,agar,0,LAC,agrA_C123F_comp-20,20,
160511,agar,0,LAC,agrA_C123F_comp-20,12,
160511,agar_stock,0,LAC,agrA_C123F_comp-20,8,2
160511,agar_stock,0,LAC,agrA_C123F_comp-20,10,5
160511,agar,0,LAC,agrA_C123F_empty,21,
160511,agar,0,LAC,agrA_C123F_empty,35,
160511,agar,0,LAC,agrA_C123F_empty,50,
160511,agar,0,LAC,agrA_C123F_empty,45,
160511,agar,0,LAC,agrA_C123F_empty,33,
160511,agar,0,LAC,agrA_C123F_empty,35,
160511,agar,0,LAC,agrA_C123F_empty,25,
160511,agar,0,LAC,agrA_C123F_empty,39,
160511,agar_stock,0,LAC,agrA_C123F_empty,8,1
160511,agar_stock,0,LAC,agrA_C123F_empty,21,5
160511,infected,48,LAC,agrA_C123F_comp-20,,
160511,infected,48,LAC,agrA_C123F_comp-20,,
160511,infected,72,LAC,agrA_C123F_comp-20,,
160511,infected,72,LAC,agrA_C123F_comp-20,,
160511,infected,72,LAC,agrA_C123F_empty,,
160511,,72,LAC,wt,1,6
160511,,72,LAC,wt,4,6
160511,,72,LAC,wt,5,6
160511,,72,LAC,wt,3,6
160511,,72,LAC,wt,10,6
160511,,72,LAC,wt,9,6
160511,,72,LAC,wt,3,6
160511,,72,LAC,agrA_C123F_comp-20,3,6
160511,,72,LAC,agrA_C123F_comp-20,10,6
160511,,72,LAC,agrA_C123F_comp-20,2,6
160511,,72,LAC,agrA_C123F_comp-20,4,6
160511,,72,LAC,agrA_C123F_comp-20,17,5
160511,,72,LAC,agrA_C123F_empty,12,5
160511,,72,LAC,agrA_C123F_empty,7,5
160511,,72,LAC,agrA_C123F_empty,6,5
160511,,72,LAC,agrA_C123F_empty,12,5
160511,,72,LAC,agrA_C123F_empty,8,5
160511,infected,96,LAC,wt,,
160511,infected,96,LAC,agrA_C123F_comp-20,,
160511,infected,96,LAC,agrA_C123F_comp-20,,
160511,infected,120,LAC,wt,,
160511,,120,LAC,wt,8,6
160511,,120,LAC,wt,2,6
160511,,120,LAC,wt,8,6
160511,,120,LAC,wt,11,6
160511,,120,LAC,agrA_C123F_empty,11,5
160511,,120,LAC,agrA_C123F_empty,9,5
160511,,120,LAC,agrA_C123F_empty,8,5
160511,,120,LAC,agrA_C123F_empty,3,5
160511,,120,LAC,agrA_C123F_empty,6,5
160511,,120,LAC,agrA_C123F_empty,4,5
160511,,120,LAC,agrA_C123F_comp-20,22,5
160511,,120,LAC,agrA_C123F_comp-20,43,5
160511,,120,LAC,agrA_C123F_comp-20,40,5
160511,,120,LAC,agrA_C123F_comp-20,30,5
160421,OD660_0.486,0,LAC,wt,,
160421,OD660_0.534,0,LAC,agrA_C123F,,
160421,OD660_0.424,0,LAC,agrA_C123F_comp-20,,
160421,agar,0,LAC,wt,21,
160421,agar,0,LAC,wt,30,
160421,agar,0,LAC,wt,33,
160421,agar,0,LAC,wt,30,
160421,agar,0,LAC,wt,32,
160421,agar,0,LAC,wt,35,
160421,agar,0,LAC,wt,30,
160421,agar_stock,0,LAC,wt,7,1
160421,agar_stock,0,LAC,wt,21,5
160421,agar,0,LAC,agrA_C123F_comp-20,22,
160421,agar,0,LAC,agrA_C123F_comp-20,33,
160421,agar,0,LAC,agrA_C123F_comp-20,33,
160421,agar,0,LAC,agrA_C123F_comp-20,31,
160421,agar,0,LAC,agrA_C123F_comp-20,37,
160421,agar,0,LAC,agrA_C123F_comp-20,38,
160421,agar,0,LAC,agrA_C123F_comp-20,31,
160421,agar,0,LAC,agrA_C123F_comp-20,29,
160421,agar_stock,0,LAC,agrA_C123F_comp-20,6,1
160421,agar_stock,0,LAC,agrA_C123F_comp-20,16,5
160421,agar,0,LAC,agrA_C123F_empty,8,
160421,agar,0,LAC,agrA_C123F_empty,12,
160421,agar,0,LAC,agrA_C123F_empty,13,
160421,agar,0,LAC,agrA_C123F_empty,15,
160421,agar,0,LAC,agrA_C123F_empty,18,
160421,agar,0,LAC,agrA_C123F_empty,12,
160421,agar,0,LAC,agrA_C123F_empty,5,
160421,agar,0,LAC,agrA_C123F_empty,12,
160421,agar_stock,0,LAC,agrA_C123F_empty,5,1
160421,agar_stock,0,LAC,agrA_C123F_empty,23,5
160421,infected,24,LAC,agrA_C123F_comp-20,,
160421,infected,24,LAC,agrA_C123F_comp-20,,
160421,infected,24,LAC,agrA_C123F_comp-20,,
160421,infected,24,LAC,agrA_C123F_comp-20,,
160421,infected,24,LAC,agrA_C123F_comp-20,,
160421,infected,24,LAC,agrA_C123F_comp-20,,
160421,infected,24,LAC,agrA_C123F_comp-20,,
160421,infected,24,LAC,agrA_C123F_empty,,
160421,infected,24,LAC,agrA_C123F_empty,,
160421,infected,24,LAC,agrA_C123F_empty,,
160421,infected,24,LAC,wt,,
160421,infected,24,LAC,wt,,
160421,infected,24,LAC,wt,,
160421,infected,24,LAC,wt,,
160421,infected,24,LAC,wt,,
160421,infected,48,LAC,wt,,
160421,infected,48,LAC,agrA_C123F_empty,,
160421,infected,72,LAC,agrA_C123F_comp-20,,
160421,infected,72,LAC,agrA_C123F_comp-20,,
160421,infected,72,LAC,agrA_C123F_comp-20,,
160421,infected,72,LAC,agrA_C123F_comp-20,,
160421,infected,72,LAC,wt,,
160421,infected,72,LAC,wt,,
160421,infected,72,LAC,wt,,
160421,infected,72,LAC,wt,,
160421,double,72,LAC,wt,13,5
160421,,72,LAC,wt,3,5
160421,,72,LAC,wt,3,5
160421,,72,LAC,agrA_C123F_comp-20,19,5
160421,,72,LAC,agrA_C123F_comp-20,23,5
160421,,72,LAC,agrA_C123F_comp-20,14,5
160421,double,72,LAC,agrA_C123F_empty,19,4
160421,,72,LAC,agrA_C123F_empty,19,5
160421,,72,LAC,agrA_C123F_empty,2,5
160421,,72,LAC,agrA_C123F_empty,24,6
160421,,72,LAC,agrA_C123F_empty,2,5
160421,,72,LAC,agrA_C123F_empty,4,4
160421,,120,LAC,agrA_C123F_empty,8,5
160421,,120,LAC,agrA_C123F_empty,8,5
160421,,120,LAC,agrA_C123F_empty,12,5
